origin;destination;year;month;avg_time_difference;count;;;;;;
EHBK;EGCC;2022;3;38.763.333.333.333.300;3;;;;;;
EHTL;EHTE;2022;3;1106.0;1;;;;;;
EHWO;EDDK;2022;3;1828.0;1;;;;;;
EHEH;LSZC;2022;3;4873.0;2;;;;;;
EHBK;EGTK;2022;3;3524.5;2;;;;;;
EHEH;EHVK;2022;3;808.5;4;;;;;;
EHAL;EHST;2022;3;2351.0;1;;;;;;
EHTW;EDLS;2022;3;773.0;1;;;;;;
EHAM;LEMG;2022;3;9.335.735.294.117.640;34;;;;;;
EHGR;EHLE;2022;3;2874.0;4;;;;;;
EHAM;EGAC;2022;3;40.241.875;16;;;;;;
EHTE;LSGB;2022;3;6235.0;1;;;;;;
EHHV;EHOW;2022;3;3444.0;1;;;;;;
EHRD;EGCV;2022;3;4748.0;1;;;;;;
EHBK;LKPR;2022;3;36.963.333.333.333.300;3;;;;;;
EHTE;ENRK;2022;3;9448.0;1;;;;;;
EHEH;EHMZ;2022;3;3559.0;3;;;;;;
EHLE;EDNS;2022;3;11473.0;1;;;;;;
EHLE;EKVD;2022;3;6778.0;1;;;;;;
EHAM;LYBE;2022;3;7.207.197.183.098.590;71;;;;;;
EHGG;EHST;2022;3;1098.0;6;;;;;;
EHEH;LEMD;2022;3;7484.0;16;;;;;;
EHLE;EDKV;2022;3;5507.0;1;;;;;;
EHAM;LIPK;2022;3;5972.0;1;;;;;;
EHSE;EHRD;2022;3;1.055.857.142.857.140;7;;;;;;
EHHO;EHTE;2022;3;3.149.125;8;;;;;;
EHWO;EHWO;2022;3;2676.2;25;;;;;;
EHEH;EBAW;2022;3;953.5;2;;;;;;
EHDL;EHBK;2022;3;2622.0;1;;;;;;
EHAM;ENCN;2022;3;3779.25;20;;;;;;
EHAM;LEZL;2022;3;9.451.897.435.897.430;39;;;;;;
EHLE;EHTX;2022;3;1991.5;14;;;;;;
EHLE;EDLB;2022;3;2130.0;1;;;;;;
EHSE;EDHL;2022;3;6459.0;1;;;;;;
EHBD;EDJA;2022;3;6210.0;1;;;;;;
EHEH;LFMN;2022;3;5.354.833.333.333.330;12;;;;;;
EHRD;LSGG;2022;3;40.232.727.272.727.200;11;;;;;;
EHBD;LSZR;2022;3;3950.0;1;;;;;;
EHLE;ETHM;2022;3;4177.0;1;;;;;;
EHLW;LFDY;2022;3;8446.0;1;;;;;;
EHAM;EPGD;2022;3;5.100.414.285.714.280;70;;;;;;
EHTX;EHTE;2022;3;3574.0;9;;;;;;
EHBK;LIPZ;2022;3;4423.0;1;;;;;;
EHSE;EBGB;2022;3;2817.0;1;;;;;;
EHGG;ETND;2022;3;1651.0;1;;;;;;
EHRD;LFPN;2022;3;6157.0;1;;;;;;
EHSE;EHSE;2022;3;5.158.021.739.130.430;46;;;;;;
EHTX;EHTX;2022;3;1156.0;3;;;;;;
EHRD;LSZB;2022;3;3607.0;2;;;;;;
EHWO;LFME;2022;3;5473.0;1;;;;;;
EHAM;EDTY;2022;3;2994.0;1;;;;;;
EHRD;EGKA;2022;3;16231.0;1;;;;;;
EHRD;LIRA;2022;3;6273.5;2;;;;;;
EHDP;EHMZ;2022;3;2453.0;1;;;;;;
EHAM;LIPX;2022;3;4.754.923.076.923.070;13;;;;;;
EHAM;EGNV;2022;3;30.183.846.153.846.100;13;;;;;;
EHRD;LSGS;2022;3;4371.0;2;;;;;;
EHEH;LFPV;2022;3;35.596.666.666.666.600;3;;;;;;
EHAM;LFOP;2022;3;2433.0;1;;;;;;
EHBK;EBLE;2022;3;2382.0;1;;;;;;
EHRD;EGWU;2022;3;2908.75;4;;;;;;
EHAM;EDLN;2022;3;2169.5;2;;;;;;
EHSE;EKOD;2022;3;6122.0;1;;;;;;
EHRD;EHKD;2022;3;1302.0;1;;;;;;
EHVK;EHBK;2022;3;1186.0;1;;;;;;
EHEH;EIDW;2022;3;4.788.428.571.428.570;21;;;;;;
EHVK;EHDB;2022;3;8.203.333.333.333.330;6;;;;;;
EHGR;EHWO;2022;3;11040.0;1;;;;;;
EHLE;EHHO;2022;3;2743.0;1;;;;;;
EHBD;EHEH;2022;3;837.0;1;;;;;;
EHBD;LFLS;2022;3;6386.0;1;;;;;;
EHAM;LFLP;2022;3;4267.0;2;;;;;;
EHEH;LEAX;2022;3;8848.0;1;;;;;;
EHTE;EHGG;2022;3;6.158.576.923.076.920;26;;;;;;
EHRD;LFPB;2022;3;3357.4;15;;;;;;
EHAM;ESGP;2022;3;4105.0;1;;;;;;
EHAM;EGKB;2022;3;2.486.285.714.285.710;7;;;;;;
EHRD;LHSZ;2022;3;13863.0;2;;;;;;
EHHV;EHDS;2022;3;2118.0;1;;;;;;
EHTE;EKRK;2022;3;3682.0;1;;;;;;
EHAM;EGSC;2022;3;2515.0;2;;;;;;
EHEH;LFLI;2022;3;6591.0;1;;;;;;
EHAM;EGSS;2022;3;25.100.408.163.265.300;49;;;;;;
EHGR;EHBD;2022;3;2970.5;2;;;;;;
EHTW;EDWF;2022;3;1878.0;1;;;;;;
EHAM;EHEH;2022;3;12.270.833.333.333.300;12;;;;;;
