origin,destination,year(firstseen),month(firstseen),count
EHRD,LEMG,2019,7,16
EHRD,LILQ,2019,7,3
EHRD,EGLC,2019,7,50
EHRD,LIRA,2019,7,1
EHRD,LDPM,2019,7,1
EHRD,LFCM,2019,7,1
EHRD,EHGG,2019,7,5
EHRD,LDRI,2019,7,3
EHRD,LEAP,2019,7,3
EHRD,LFMD,2019,7,1
EHRD,LDPL,2019,7,7
EHRD,EBMB,2019,7,1
EHRD,LICA,2019,7,5
EHRD,LDPV,2019,7,7
EHRD,LEBL,2022,11,24
EHRD,LEPA,2022,11,1
EHRD,LEMG,2022,11,37
EHRD,EBMB,2022,11,2
EHRD,LEMO,2022,11,1
EHRD,LIRF,2022,11,15
EHRD,LPPT,2022,11,11
EHRD,LPFR,2022,11,28
EHRD,EDDH,2022,11,1
EHRD,LPAR,2022,11,1
EHRD,EGLC,2022,11,58
EHRD,EHAM,2022,11,3
EHRD,LFBX,2022,11,2
EHRD,LEAL,2022,11,43
EHRD,LIME,2022,11,8
EHRD,LEIB,2022,11,1
EHRD,EGPH,2022,11,8
EHRD,EDDL,2022,11,1
EHRD,LKPR,2022,11,2
EHRD,LZIB,2022,11,1
EHRD,LEMG,2019,12,30
EHRD,LEMU,2019,12,13
EHRD,EGLC,2019,12,55
EHRD,LOIR,2019,12,7
EHRD,LPPT,2019,12,4
EHRD,LPAR,2019,12,4
EHRD,LSGG,2019,12,2
EHRD,LEAL,2019,12,6
EHRD,LOWI,2019,12,1
EHRD,LPFR,2019,12,26
EHRD,LPIN,2019,12,1
EHRD,LOWS,2019,12,13
EHRD,LFLS,2019,12,2
EHRD,LIRF,2019,12,7
EHRD,LEVC,2019,12,5
EHRD,LEBL,2019,12,12
EHRD,LPPR,2019,12,1
EHRD,LFBE,2019,12,1
EHRD,LFBX,2019,12,1
EHRD,EHWO,2019,12,2
EHRD,LELL,2019,12,7
EHRD,LOWW,2019,12,18
EHRD,EPWA,2019,12,1
EHRD,EHAM,2019,12,1
EHRD,ENGM,2019,12,1
EHRD,EDDV,2019,9,1
EHRD,LILQ,2019,9,5
EHRD,LFIB,2019,9,2
EHRD,LDSP,2019,9,2
EHRD,LOWW,2019,9,12
EHRD,LICP,2019,9,2
EHRD,LPFR,2019,9,56
EHRD,LFBE,2019,9,3
EHRD,LEGE,2019,9,6
EHRD,LEAL,2019,9,14
EHRD,LFTZ,2019,9,1
EHRD,LGIR,2019,9,16
EHRD,LGKO,2019,9,9
EHRD,EGLC,2019,9,49
