origin,destination,count
EHAM,EDNA,1
EHAM,LFQK,2
EHAM,ENSI,112
EHEH,LKPC,11
EHRD,EGMC,1
EHRD,EGHP,1
EHEH,LEAP,26
EHBK,EDDH,7
EHAM,EGZL,3
EHEH,LIDE,2
EHBK,LEAP,11
EHEH,LPBJ,2
EHAM,LDSB,2
EHAM,EPSJ,1
EHEH,LIMC,114
EHAM,BIRK,21
EHRD,LDZD,5
EHBK,LFGB,5
EHBK,BIKF,1
EHAM,LFGB,25
EHAM,EPBC,3
EHEH,LBSB,2
EHEH,LOWG,3
EHAM,LBBG,9
EHAM,LIDL,1
EHAM,LIRN,5
EHRD,LFMQ,6
EHEH,EICK,1
EHAM,LIAU,8
EHBK,LBSB,2
EHAM,LIMB,4
EHEH,EGGP,1
EHGG,EKSB,1
EHEH,LOWS,208
EHBK,EBZU,1
EHRD,LFLS,38
EHAM,LFOY,2
EHRD,EDDP,5
EHEH,EGGW,3
EHEH,LOIR,97
EHBK,EGKK,24
EHBK,LSGG,11
EHGG,EDDP,1
EHRD,ENGM,5
EHEH,EGNX,2
EHEH,LOWI,206
EHRD,LOIR,109
EHBK,EPGD,3
EHAM,LFOS,2
EHRD,LFKH,1
EHEH,ESGG,1
EHRD,LFLL,4
EHRD,LJLJ,1
EHAM,ESMS,1
EHAM,EDWQ,15
EHAM,LOAN,1
EHEH,EYKG,2
EHEH,LKRO,1
EHBK,LELL,4
EHAM,EGND,18
EHRD,LEMU,46
EHAM,EGPJ,12
EHRD,LPIN,1
EHAM,LIPF,3
EHEH,LETO,10
EHBK,EIDW,4
EHAM,LEVC,157
EHEH,LPVL,11
EHBK,LFLD,1
EHAM,EGBP,1
EHEH,LEVC,82
EHEH,EYRD,26
EHAM,EYRD,14
EHRD,EHWO,3
EHAM,EGTE,21
EHAM,EIBA,66
EHRD,LEVC,20
EHAM,LRPH,4
EHEH,EYRU,26
EHAM,EGCB,2
EHRD,LSGG,65
EHBK,LFLL,13
EHAM,LFMU,1
EHEH,LEZG,1
EHEH,ENBO,1
EHEH,LRCD,1
EHBK,LIRA,1
EHAM,EDLP,1
EHBK,EPRZ,1
EHRD,EDDH,2
EHAM,EDNX,9
EHBK,EDFH,3
EHAM,LFCL,7
EHBK,EGNM,1
EHAM,EDCF,2
EHAM,EBAW,1
EHRD,EDDL,1
EHAM,EGSG,3
EHAM,EDCE,1
EHBK,LPPT,4
EHEH,LDZE,1
EHBK,LEAX,1
EHRD,LEMO,1
EHAM,LEGT,5
EHEH,LDZL,2
EHAM,LIPR,7
EHRD,EKYT,2
EHAM,LKRO,1
EHBK,EFHK,6
EHBK,LELH,1
EHAM,LFLB,20
EHEH,LEMP,3
EHAM,LKSZ,4
EHBK,LEMD,23
EHRD,LFLB,14
EHAM,LEPR,3
EHAM,LIDF,4
EHBK,LOWI,1
EHEH,EPLU,5
EHBK,ETNG,1
EHAM,EDMP,2
EHBK,EDDS,2
EHRD,LOWK,7
EHRD,LFBO,2
EHRD,LSZH,6
EHAM,LSGP,6
EHAM,EYMO,2
EHBK,LHBP,5
EHEH,EYKS,5
EHRD,LEMP,2
EHBK,LFPB,3
EHBK,EPMR,1
EHAM,LFMI,1
EHBK,EETN,1
EHAM,EFRO,1
EHBK,LKMT,3
EHEH,EDDT,1
EHAM,LIVV,3
EHBK,EPKT,2
EHEH,LQPD,3
EHGG,LIRQ,1
EHAM,LFRC,2
EHAM,LFNO,9
EHRD,LSZM,3
EHBK,ENBR,3
EHBK,ENBO,3
EHRD,EKSB,1
EHEH,EKKA,9
EHTW,LEIB,1
EHAM,ESTA,1
EHEH,LQBK,3
EHAM,LICT,1
EHRD,ESGG,1
EHBK,EHGG,6
EHEH,LEAX,4
EHTW,EDDF,6
EHRD,LFIK,5
EHEH,LOWL,1
EHBK,LFSW,1
EHRD,LKVO,2
EHBK,EDDM,3
EHAM,ENEG,3
EHBK,LBBG,4
EHRD,LYBE,2
EHEH,EHWO,3
EHRD,EGPG,3
EHEH,LIQL,4
EHAM,LIDE,6
EHEH,EGBB,2
EHRD,ENVA,1
EHAM,LOLW,1
EHBK,EGSH,1
EHBK,EDLR,1
EHBK,EBBR,2
EHAM,LIAR,16
EHAM,LSPF,4
EHAM,EDTG,1
EHAM,EGYO,4
EHAM,LFBF,5
EHAM,EDLE,1
EHEH,LYSM,12
EHEH,LGTT,1
EHAM,ETOU,1
EHEH,LIMN,1
EHAM,LOAS,2
EHAM,LFPT,2
EHAM,LFPP,8
EHAM,EBGG,1
EHAM,EYKA,4
EHAM,LSPV,1
EHEH,EBLG,5
EHAM,EDSH,1
EHAM,LFHW,9
EHAM,LHFP,1
EHAM,EGSX,3
EHEH,EBOS,3
EHAM,EDWH,1
EHRD,EGML,2
EHAM,EFNS,50
EHAM,EPSO,2
EHAM,LIRE,4
EHAM,ESSN,2
EHRD,LPCS,1
EHEH,EGVT,1
EHAM,LFJR,1
EHAM,LFKL,9
EHAM,EDFG,2
EHAM,EDTQ,1
EHAM,EDML,1
EHAM,EGCJ,4
EHAM,EDCM,2
EHEH,LICJ,1
EHAM,LSMD,1
EHAM,LFCS,2
EHAM,EGLD,1
EHEH,EBNE,1
