origin,destination,year(firstseen),month(firstseen),count
EHEH,LIPU,2019,3,5
EHEH,EYVP,2019,3,1
EHEH,LEMD,2019,3,18
EHEH,LKPR,2019,3,20
EHEH,EIBA,2019,3,1
EHEH,LROP,2019,3,18
EHEH,EPGD,2019,3,14
EHEH,LEMU,2019,3,1
EHEH,EIDW,2019,3,17
EHEH,EYVI,2019,3,3
EHEH,EIWT,2019,3,1
EHEH,LOIR,2019,3,12
EHEH,LE85,2019,3,12
EHEH,LIRP,2019,3,5
EHEH,LOWW,2019,3,8
EHEH,LELL,2019,3,3
EHEH,EYKA,2019,3,3
EHEH,EPWR,2019,3,22
EHEH,LFGC,2019,3,1
EHEH,LEMG,2019,3,16
EHEH,EVRA,2019,3,12
EHEH,LHTM,2019,3,13
EHEH,EDFH,2019,3,1
EHEH,EKCH,2019,3,16
EHEH,LIRU,2019,3,1
EHEH,LBWV,2019,3,6
EHEH,LIPS,2019,3,4
EHEH,EGGW,2019,3,1
EHEH,LEAL,2019,3,22
EHEH,LEGE,2019,3,1
EHEH,EPLR,2019,3,2
EHEH,LPPT,2019,3,31
EHEH,EGSS,2019,3,60
EHEH,LBSF,2019,3,8
EHEH,ESSA,2019,3,7
EHEH,EVRS,2019,3,1
EHEH,LHDC,2019,3,1
EHEH,EPWA,2019,3,10
EHEH,EPSW,2019,3,3
EHEH,EPGL,2019,3,1
EHEH,LILV,2019,3,1
EHEH,LEBL,2019,3,14
EHEH,LOWI,2019,3,17
EHEH,LEZL,2019,3,11
EHEH,EBMB,2019,3,1
EHEH,LKVO,2019,3,6
EHEH,LIRA,2019,3,19
EHEH,LMML,2019,3,1
EHEH,LPFR,2019,3,31
EHEH,LBLS,2019,3,1
EHEH,EPPO,2019,3,12
EHEH,EBCI,2019,3,1
EHEH,EPKT,2019,3,9
EHEH,LIDH,2019,3,1
EHEH,EHAM,2019,3,6
EHEH,LESB,2019,3,1
EHEH,LHNY,2019,3,2
EHEH,LGKN,2019,3,1
EHEH,LIDU,2019,3,2
EHEH,LFML,2019,3,7
EHEH,LPAR,2019,3,6
EHEH,LKKL,2019,3,3
EHEH,LILQ,2019,3,5
EHEH,LGAV,2019,3,19
EHEH,EGCC,2019,3,17
EHEH,LOWS,2019,3,20
EHEH,LHBP,2019,3,33
EHEH,LIME,2019,3,26
EHEH,EGPH,2019,3,12
EHEH,EPGD,2019,1,25
EHEH,EIDW,2019,1,11
EHEH,LBSF,2019,1,31
EHEH,LPFR,2019,1,26
EHEH,EPPO,2019,1,7
EHEH,EPWA,2019,1,11
EHEH,LOWW,2019,1,6
EHEH,LIPE,2019,1,3
EHEH,LIRU,2019,1,6
EHEH,EPSW,2019,1,3
EHEH,LGKN,2019,1,1
EHEH,EPLR,2019,1,4
EHEH,EPPR,2019,1,1
EHEH,LIRN,2019,1,2
EHEH,EPKK,2019,1,15
EHEH,LFST,2019,1,1
EHEH,EYKA,2019,1,8
EHEH,LHCL,2019,1,1
EHEH,LILQ,2019,1,1
EHEH,LEMD,2019,1,12
EHEH,LPPM,2019,1,1
EHEH,LHBP,2019,1,12
EHEH,EBCI,2019,1,1
EHEH,LIDG,2019,1,2
EHEH,LHHO,2019,1,5
EHEH,LEZL,2019,1,7
EHEH,ESSA,2019,1,5
EHEH,LEGE,2019,1,3
EHEH,LE85,2019,1,8
EHEH,LIRP,2019,1,3
EHEH,LEBL,2019,1,2
EHEH,EIME,2019,1,1
EHEH,LHTM,2019,1,30
EHEH,EKCH,2019,1,14
EHEH,LELL,2019,1,3
EHEH,EHHV,2019,1,1
EHEH,LIME,2019,1,22
EHEH,LOWI,2019,1,17
EHEH,LIPH,2019,1,8
EHEH,EGSS,2019,1,52
EHEH,EYVI,2019,1,7
EHEH,LIRA,2019,1,12
EHEH,LROP,2019,1,14
EHEH,LFML,2019,1,7
EHEH,EVRA,2019,1,12
EHEH,LOIR,2019,1,8
EHEH,LFLL,2019,1,1
EHEH,EPKT,2019,1,27
EHEH,LIBR,2019,1,7
EHEH,LGAV,2019,1,9
EHEH,EPWR,2019,1,17
EHEH,LBWV,2019,1,2
EHEH,LIDU,2019,1,9
EHEH,LPPT,2019,1,28
EHEH,EHRD,2019,1,1
EHEH,EGCC,2019,1,10
EHEH,LOWS,2019,1,16
EHEH,LPAR,2019,1,5
EHEH,LMML,2019,1,6
EHEH,EGSX,2019,1,1
EHEH,LIQL,2019,1,1
EHEH,EYVP,2019,1,6
EHEH,LIMC,2019,1,1
EHEH,LKPR,2019,1,29
EHEH,LWSK,2019,1,5
EHEH,LEMG,2019,1,26
EHEH,EGPH,2019,1,8
EHEH,LEAL,2019,1,34
EHEH,EHGR,2019,1,1
EHEH,EHAM,2019,1,5
EHEH,LHDC,2019,1,2
EHEH,LFPO,2021,3,1
EHEH,LEPA,2021,3,1
EHEH,LPPR,2021,3,3
EHEH,LBWN,2021,3,1
EHEH,EVRA,2021,3,1
EHEH,LBWV,2021,3,1
EHEH,EPKT,2021,3,3
EHEH,LOWW,2021,3,1
EHEH,EPMO,2021,3,1
EHEH,LHBP,2021,3,5
EHEH,LEMG,2021,3,4
EHEH,LPFR,2021,3,1
EHEH,EKKA,2021,3,2
EHEH,LYBT,2021,3,2
EHEH,LROP,2021,3,1
EHEH,LKPR,2021,3,2
EHEH,EHAM,2021,3,1
EHEH,EPWA,2021,3,1
EHEH,EGSS,2021,3,2
