ADEP,ADES,year,avg_delay_departure,avg_delay_destination,avg_total_delay,avg_filed_duration,avg_actual_duration
EHAM,LIRQ,2019,566.8340707964602,822.929203539823,1389.763274336283,6145.984513274337,7535.7477876106195
EHAM,ENTC,2019,60.0,251.5,311.5,10521.5,10833.0
EHGG,EKCH,2019,-350.6595744680851,-98.9290780141844,-449.5886524822695,4913.021276595745,4463.432624113475
EHAM,LGZA,2015,67.29729729729729,-91.62162162162163,-24.324324324324323,10818.95945945946,10794.635135135135
EHAM,EDDM,2015,176.74082232011747,286.1101321585903,462.85095447870776,4477.079295154185,4939.930249632893
EHRD,LEMG,2015,134.58536585365854,247.47154471544715,382.0569105691057,9715.821138211382,10097.878048780487
EHRD,EKKA,2015,-60.0,-83.0,-143.0,4853.0,4710.0
EHBK,EYVI,2019,1200.0,1204.0,2404.0,7436.0,9840.0
EHAM,LEVC,2016,600.722972972973,515.8885135135135,1116.6114864864865,8256.54054054054,9373.152027027027
EHAM,EDDM,2016,294.81592039800995,457.69225302061125,752.5081734186211,4503.691542288557,5256.199715707178
EHRD,LIRF,2015,150.0744680851064,228.0,378.0744680851064,6977.13829787234,7355.212765957447
EHAM,EKYT,2015,100.59217877094972,279.4245810055866,380.01675977653633,4132.466480446928,4512.483240223463
EHAM,LEAL,2018,688.6821345707657,681.3457076566125,1370.0278422273782,8822.733178654293,10192.761020881671
EHAM,LFST,2018,534.3231707317074,451.4512195121951,985.7743902439024,3760.6493902439024,4746.423780487805
EHLE,ESNZ,2018,0.0,755.0,755.0,11238.0,11993.0
EHEH,LPPR,2018,642.3837209302326,619.4186046511628,1261.8023255813953,8789.011627906977,10050.813953488372
EHAM,EGNM,2018,267.375854214123,375.6879271070615,643.0637813211845,3713.357630979499,4356.421412300683
EHAM,ESSP,2018,-160.0,104.66666666666667,-55.333333333333336,5598.666666666667,5543.333333333333
EHAM,LBWN,2018,1000.5714285714286,360.85714285714283,1361.4285714285713,10848.285714285714,12209.714285714286
EHAM,EVRA,2016,291.377990430622,342.4162679425837,633.7942583732057,7545.287081339713,8179.081339712919
EHAM,EKEB,2016,18.25,-74.625,-56.375,4635.375,4579.0
EHAM,LGKF,2015,-175.96296296296296,-396.22222222222223,-572.1851851851852,10623.518518518518,10051.333333333334
EHAM,EDDS,2015,199.70540098199672,-20.80687397708674,178.89852700491,4135.6448445171845,4314.543371522095
EHRD,EGPD,2015,101.16666666666667,-64.83333333333333,36.333333333333336,8029.083333333333,8065.416666666667
EHEH,EHAM,2015,468.5833333333333,754.2916666666666,1222.875,1831.625,3054.5
EHAM,ESMX,2019,145.45098039215685,419.29411764705884,564.7450980392157,4817.71568627451,5382.4607843137255
EHEH,LEVC,2018,288.2686567164179,117.72636815920399,405.9950248756219,7937.318407960199,8343.313432835821
EHAM,EBCI,2018,800.0,841.0,1641.0,2568.0,4209.0
EHAM,LIRF,2016,376.94901315789474,428.11595394736844,805.0649671052631,7199.789473684211,8004.854440789473
EHAM,EHEH,2016,567.2727272727273,805.4090909090909,1372.6818181818182,1708.1818181818182,3080.8636363636365
EHBK,LWSK,2016,99.25,-296.25,-197.0,8615.25,8418.25
EHAM,EPLL,2015,168.35294117647058,174.14705882352942,342.5,6036.89705882353,6379.39705882353
EHLE,EDDW,2015,-520.0,-750.3333333333334,-1270.3333333333333,3350.0,2079.6666666666665
EHRD,LFMT,2015,140.04,-153.72,-13.68,6115.68,6102.0
EHAM,LFBD,2019,416.03365384615387,613.0480769230769,1029.0817307692307,5502.03125,6531.1129807692305
EHBK,EKCH,2019,40.0,349.6666666666667,389.6666666666667,5316.333333333333,5706.0
EHRD,LOWS,2018,37.291666666666664,-422.59722222222223,-385.30555555555554,5213.125,4827.819444444444
EHAM,LOWS,2018,210.15277777777777,105.13888888888889,315.2916666666667,5186.486111111111,5501.777777777777
EHAM,LFSB,2016,212.59504132231405,-87.63911845730027,124.95592286501378,4465.855371900827,4590.81129476584
EHAM,LMML,2016,347.24590163934425,352.5163934426229,699.7622950819672,10193.11475409836,10892.877049180328
EHEH,LIPE,2016,-3.0,35.11904761904762,32.11904761904762,5540.690476190476,5572.809523809524
EHAM,LPPD,2015,-78.0,-184.3,-262.3,14933.6,14671.3
EHAM,LPMA,2015,-61.2,-93.52,-154.72,14425.28,14270.56
EHAM,LGKL,2015,720.0,461.25,1181.25,11024.5,12205.75
EHAM,LYBE,2019,1064.4526748971193,939.880658436214,2004.3333333333333,7782.320987654321,9786.654320987655
EHAM,EKCH,2018,374.526533425224,280.06685044796694,654.5933838731909,4476.198483804273,5130.791867677463
EHBK,LROP,2018,-240.0,-1486.0,-1726.0,14019.0,12293.0
EHAM,LIMF,2016,244.34642857142856,550.7857142857143,795.1321428571429,5155.3,5950.432142857143
EHAM,EPLL,2016,-22.029411764705884,-124.73529411764706,-146.76470588235293,6191.0,6044.235294117647
EHGG,LEBL,2016,2100.0,2094.0,4194.0,7443.0,11637.0
EHAM,LIBD,2015,375.09090909090907,320.72727272727275,695.8181818181819,8508.818181818182,9204.636363636364
EHEH,LEBL,2019,412.8333333333333,450.68840579710144,863.5217391304348,6938.623188405797,7802.144927536232
EHEH,LFMN,2019,485.4225352112676,-173.59154929577466,311.83098591549293,6362.859154929577,6674.69014084507
EHAM,LWOH,2016,200.84615384615384,331.4807692307692,532.3269230769231,9042.134615384615,9574.461538461539
EHEH,LIBR,2016,380.1212121212121,257.6969696969697,637.8181818181819,8267.363636363636,8905.181818181818
EHBK,EPKT,2016,-25.236842105263158,-146.78947368421052,-172.02631578947367,5762.210526315789,5590.184210526316
EHBK,EPGD,2016,146.875,-402.375,-255.5,6506.75,6251.25
EHAM,LFML,2015,348.5626740947075,-53.33147632311978,295.23119777158774,6548.236768802229,6843.467966573816
EHBK,ENGM,2015,-1020.0,-716.0,-1736.0,8484.0,6748.0
EHGG,EKYT,2015,-117.0,-469.5,-586.5,4522.0,3935.5
EHAM,EGAA,2019,621.8819444444445,776.1180555555555,1398.0,5268.541666666667,6666.541666666667
EHAM,EIDW,2018,440.07697412076976,397.0464499004645,837.1234240212342,5492.727272727273,6329.850696748507
EHAM,LFLC,2018,568.2622950819672,585.5901639344262,1153.8524590163934,5043.44262295082,6197.295081967213
EHAM,EGNM,2016,144.51631477927063,105.77735124760076,250.2936660268714,3832.704414587332,4082.9980806142034
EHAM,LFST,2016,142.52134146341464,448.7560975609756,591.2774390243902,3569.875,4161.15243902439
EHBK,LKPD,2016,120.0,850.5,970.5,7196.0,8166.5
EHBK,LOWW,2016,1500.0,1218.0,2718.0,5666.0,8384.0
EHRD,LIRP,2016,548.0,546.0,1094.0,6830.0,7924.0
EHBK,ELLX,2016,367.5,744.3125,1111.8125,1594.875,2706.6875
EHAM,LWOH,2015,27.169811320754718,210.75471698113208,237.9245283018868,9003.207547169812,9241.132075471698
EHAM,EGPE,2015,192.27884615384616,-904.9615384615385,-712.6826923076923,7706.365384615385,6993.682692307692
EHRD,EGJB,2015,-399.1666666666667,-914.3333333333334,-1313.5,6778.0,5464.5
EHAM,ESPA,2015,840.0,593.0,1433.0,9119.0,10552.0
EHAM,ENEV,2019,1170.3333333333333,1536.6666666666667,2707.0,10681.0,13388.0
EHAM,LEVD,2016,600.0,412.0,1012.0,7957.0,8969.0
EHAM,EICK,2015,215.83636363636364,169.40454545454546,385.2409090909091,6033.445454545455,6418.686363636363
EHEH,EYKA,2019,-20.228571428571428,103.74285714285715,83.51428571428572,6982.228571428572,7065.742857142857
EHAM,LEVC,2018,432.03348214285717,279.2767857142857,711.3102678571429,8206.435267857143,8917.745535714286
EHAM,LATI,2018,357.3255813953488,169.27906976744185,526.6046511627907,8875.139534883721,9401.744186046511
EHAM,LGSK,2016,461.25,407.1875,868.4375,10656.9375,11525.375
EHEH,LIRP,2015,217.63636363636363,251.06363636363636,468.7,5736.618181818182,6205.318181818182
EHEH,EHAM,2019,874.8571428571429,494.85714285714283,1369.7142857142858,2606.1428571428573,3975.8571428571427
EHAM,LIMC,2018,574.7692307692307,654.7406082289804,1229.509838998211,5256.111806797853,6485.6216457960645
